Id_App,Country,Name,Critic Name,Estrategic,Critic Info,Score,ClassifType,AppType,Deploy,Status,ServiceDomain,Quadrant,ProductDomain,Specialist,Architect App,Owner,Description,RTO,DRP,Deploy,Starting Year
1,Colombia,BBVA Net Cash,Medio,NO,Bajo,71.17,Aplicación,Legado,Hybrid Cloud,Deprecado,Customer Offer,Eliminate,Gestión de Riesgos,DevOps Specialist,Security Architect,Verónica Guerrero,Plataforma de análisis de gestión de riesgos,> 24 horas <= 3 Semanas,SI,Hybrid Cloud,2013
2,Perú,Portal Empresas,Muy Crítico,NO,Alto,39.5,Microservicio,Contenedor,Azure,Mantenimiento,Mobile Banking,Tolerate,Cumplimiento,Cloud Specialist,nan,Manuel Martín,Sistema legacy de cumplimiento,> 3 Semanas,SI,Azure,2024
3,Argentina,Banca Móvil BBVA,Crítico,SI,Bajo,55.42,Microservicio,Legado,Kyndryl,En Desarrollo,Customer Service,Transform,Analítica,Security Specialist,Security Architect,Óscar Cortés,Plataforma de integración de analítica,> 4 Horas <= 12 horas,NO,Kyndryl,2010
4,Perú,API Gateway Corporativo,Muy Crítico,NO,Medio,28.17,Base de Datos,Contenedor,On-Premise,Mantenimiento,Data Analytics,Invest,Comercio Exterior,Backend Specialist,Cloud Architect,Carlos Martínez,Plataforma cloud-native de comercio exterior,> 24 horas <= 3 Semanas,SI,On-Premise,2011
5,Turquía,Sistema de Pagos Internacionales,Medio,SI,Bajo,58.2,Middleware,Híbrido,GCP,Mantenimiento,Security & Compliance,Invest,Transferencias,Frontend Specialist,Enterprise Architect,Miguel Álvarez,Sistema legacy de transferencias,>= 0 Minutos <= 4 Horas,NO,GCP,2011
6,Venezuela,Plataforma de Inversiones,Bajo,SI,Medio,36.8,Aplicación,Contenedor,Azure,Activo,Treasury Operations,Eliminate,Créditos,Backend Specialist,Data Architect,Pilar Santos,Microservicio de créditos,> 4 Horas <= 12 horas,SI,Azure,2014
7,Venezuela,Motor de Scoring Crediticio,Muy Crítico,SI,Medio,24.61,Base de Datos,Legado,Azure,En Desarrollo,Wealth Management,Migrate,Operaciones,DevOps Specialist,Data Architect,Cristina Romero,Plataforma de integración de operaciones,> 3 Semanas,SI,Azure,2018
8,Chile,Sistema Antifraude,Bajo,NO,Bajo,51.29,Backend,Contenedor,On-Premise,Activo,Wealth Management,Modernize,Banca Privada,Data Specialist,Solution Architect,Raquel Castro,Plataforma para gestión de banca privada,> 12 horas <= 24 horas,SI,On-Premise,2020
9,Estados Unidos,Onboarding Digital,Medio,NO,Alto,66.18,API,Servicio,On-Premise,En Desarrollo,Payment Processing,Tolerate,Comercio Exterior,Backend Specialist,Integration Architect,José Rodríguez,Portal de autoservicio de comercio exterior,> 12 horas <= 24 horas,SI,On-Premise,2024
10,Estados Unidos,Gestor de Tarjetas,Bajo,NO,Alto,51.31,Microservicio,Serverless,Kyndryl,Deprecado,Customer Offer,Invest,Tarjetas,nan,Data Architect,Javier Díaz,Plataforma de integración de tarjetas,> 4 Horas <= 12 horas,NO,Kyndryl,2023
